"Name","Count"
"lead","6"
"soil","6"
"plainly","6"
"Euryalus","6"
"ambrosia","6"
"refuse","6"
"oar","6"
"start","6"
"seated","6"
"Charybdis","6"
"wet","6"
"cook","6"
"yourselves","6"
"hurricane","6"
"ambuscade","6"
"seer","6"
"rowing","6"
"rushed","6"
"pall","6"
"flock","6"
"sensible","6"
"crowd","6"
"loud","6"
"spoil","6"
"doomed","6"
"according","6"
"swam","6"
"forthwith","6"
"disguised","6"
"dragged","6"
"captain","6"
"jars","6"
"splendid","6"
"virtue","6"
"rudder","6"
"snatched","6"
"beggars","6"
"Pick","6"
"new","6"
"begged","6"
"youth","6"
"touched","6"
"smooth","6"
"ear","6"
"needlework","6"
"fragrant","6"
"rejoicing","6"
"purpose","6"
"generally","6"
"camped","6"
"neighbours","6"
"amongst","6"
"basin","6"
"lambs","6"
"shame","6"
"Egyptians","6"
"chose","6"
"stick","6"
"doubted","6"
"Antiphates","6"
"fourth","6"
"sudden","6"
"quit","6"
"sharp","6"
"persist","6"
"heap","6"
"tired","6"
"kindly","6"
"sacrificing","6"
"Amphimedon","6"
"Polyphemus","6"
"torn","6"
"fishes","6"
"keel","6"
"Ogygian","6"
"robbed","6"
"thankful","6"
"rejoice","6"
"vineyard","6"
"touch","6"
"fought","6"
"entertained","6"
"hereafter","6"
"redoubtable","6"
"sports","6"
"omens","6"
"settle","6"
"excel","5"
"attack","5"
"helped","5"
"vultures","5"
"somebody","5"
"'Be","5"
"blind","5"
"check","5"
"idea","5"
"expecting","5"
"appearance","5"
"future","5"
"limbs","5"
"native","5"
"'Sir","5"
"play","5"
"dancers","5"
"tripod","5"
"maidens","5"
"wasting","5"
"Thebes","5"
"Arceisius","5"
"ease","5"
"disposition","5"
"wishes","5"
"Cyprus","5"
"liked","5"
"corpses","5"
"fellows","5"
"smell","5"
"proof","5"
"pride","5"
"certainly","5"
"mist","5"
"exceedingly","5"
"goatherd","5"
"courts","5"
"lawful","5"
"king's","5"
"following","5"
"red","5"
"root","5"
"reigned","5"
"started","5"
"wits","5"
"fitted","5"
"recognized","5"
"ends","5"
"Eteoneus","5"
"sits","5"
"plan","5"
"lamenting","5"
"meadow","5"
"failed","5"
"Elis","5"
"counselled","5"
"kids","5"
"dirty","5"
"unable","5"
"plate","5"
"herb","5"
"strike","5"
"supporting","5"
"drugged","5"
"brine","5"
"wrecked","5"
"nostrils","5"
"prosper","5"
"possibly","5"
"yoked","5"
"anoint","5"
"watching","5"
"Pontonous","5"
"remembered","5"
"vision","5"
"adventures","5"
"hole","5"
"powerful","5"
"dreams","5"
"checked","5"
"scolded","5"
"archer","5"
"inspired","5"
"creatures","5"
"continually","5"
"thighs","5"
"raw","5"
"wolves","5"
"space","5"
"firm","5"
"Sick","5"
"season","5"
"armed","5"
"Megapenthes","5"
"comrade","5"
"uproar","5"
"anywhere","5"
"feel","5"
"easy","5"
"goat","5"
"larger","5"
"honey","5"
"anxious","5"
"weather","5"
"blankets","5"
"aimed","5"
"recognize","5"
"mad","5"
"applauded","5"
"inland","5"
"support","5"
"runs","5"
"Bless","5"
"sack","5"
"length","5"
"Pear","5"
"breaking","5"
"masts","5"
"fruit","5"
"roused","5"
"drug","5"
"passage","5"
"heartily","5"
"badly","5"
"yesterday","5"
"boy","5"
"prisoner","5"
"carefully","5"
"especially","5"
"prevented","5"
"fathers","5"
"portions","5"
"admirable","5"
"reaching","5"
"tramps","5"
"flower","5"
"less","5"
"obey","5"
"taught","5"
"likeness","5"
"Thesprotians","5"
"shabby","5"
"weary","5"
"unseemly","5"
"Patroclus","5"
"ended","5"
"stratagem","5"
"ago","5"
"slave","5"
"Hellas","5"
"nation","5"
"roasted","5"
"deadly","5"
"ruled","5"
"handmaids","5"
"Content","5"
"playing","5"
"service","5"
"promise","5"
"copyright","5"
"heaped","5"
"Zacynthus","5"
"shod","5"
"provide","5"
"stout","5"
"Perhaps","5"
"misery","5"
"infinite","5"
"sturdy","5"
"witness","5"
"peg","5"
"matters","5"
"leading","5"
"barren","5"
"blank","5"
"conduct","5"
"beseech","5"
"advice","5"
"stationed","5"
"outright","5"
"foolish","5"
"watches","5"
"hateful","5"
"behaving","5"
"inasmuch","5"
"Minos","5"
"attention","5"
"tells","5"
"fault","5"
"pale","5"
"barrow","5"
"direct","5"
"aloft","5"
"renown","5"
"secret","5"
"wrought","5"
"bull","5"
"foul","5"
"feeding","5"
"valour","5"
"bred","5"
"Halitherses","5"
"hanging","5"
"fortune","5"
"sell","5"
"fiercely","5"
"thinks","5"
"turns","5"
"reaches","5"
"pig","5"
"blade","5"
"notice","5"
"keeps","5"
"decorated","5"
"wailing","5"
"muse","5"
"afflictions","5"
"wondering","5"
"pressed","5"
"whirlpool","5"
"possessions","5"
"sucking","5"
"masters","5"
"different","5"
"fare","5"
"violence","5"
"cost","5"
"hound","5"
"rare","4"
"'Stranger","4"
"stowed","4"
"fray","4"
"eager","4"
"wherein","4"
"doom","4"
"rugged","4"
"admiration","4"
